Workstream,Deliverable,Owner,Status,Last Week,This week
Workstream 1,Deliverable 1,Owner 1,🟢,Everything is going well 1,Everything is going well 1
Workstream 2,Deliverable 2,Owner 2,🟡,Things are on hold 1,Things are on hold 1
Workstream 3,Deliverable 3,Owner 3,🔴,Things are blocked 1,Things are blocked 1
Workstream 4,Deliverable 4,Owner 4,✅,Completed with success. [ADOPTION] 7 people downloaded it,Completed with success. [ADOPTION] 7 people downloaded it
Workstream 5,Deliverable 5,Owner 5,🟢,Everything is going well 5 [MAJOR] we plan a launch soon,Everything is going well 5 [MAJOR] we plan a launch soon
Workstream 6,Deliverable 6,Owner 6,🟡,Things are on hold 2,Things are on hold 2
Workstream 7,Deliverable 7,Owner 7,🔴,Things are blocked 2,Things are blocked 2
Workstream 8,Deliverable 8,Owner 8,✅,[MAJOR] Completed with success. [ADOPTION] 90 people downloaded it,[MAJOR] Completed with success. [ADOPTION] 90 people downloaded it
Workstream 9,Deliverable 9,Owner 9,🟢,Everything is going well 9,Everything is going well 9
Workstream 10,Deliverable 10,Owner 10,🟡,Things are on hold3,Things are on hold3
